team_01,team_02,team_01_league,team_02_league
Nagaland,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Haryana,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Spirit,Falcons,The Hundred (England),International
Central Sparks,Sunrisers,The Hundred (England),Indian Premier League (IPL)
Falcons,Warriors,International,South African T20 Leagues
Gujarat,Bengal,Indian Premier League (IPL),Domestic Indian Leagues
Jamaica,Windward Islands,International,Caribbean Premier League (CPL)
Delhi,Vidarbha,Indian Premier League (IPL),Domestic Indian Leagues
Gujarat,Bihar,Indian Premier League (IPL),Domestic Indian Leagues
Chhattisgarh,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Meghalaya,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Barmy Army,Warriors,International,South African T20 Leagues
Kerala,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Mumbai,Railways,Indian Premier League (IPL),Domestic Indian Leagues
Hyderabad (India),Gujarat,Domestic Indian Leagues,Indian Premier League (IPL)
Uttar Pradesh,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Leeward Islands,Trinidad and Tobago,Caribbean Premier League (CPL),International
Baroda,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Warriors,Tornadoes,South African T20 Leagues,International
Madhya Pradesh,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Barbados,Windward Islands,International,Caribbean Premier League (CPL)
Mumbai,Saurashtra,Indian Premier League (IPL),Domestic Indian Leagues
Jharkhand,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Sapphires,Warriors,International,South African T20 Leagues
Guyana,Barbados,Caribbean Premier League (CPL),International
Chandigarh,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Odisha,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Guyana,Jamaica,Caribbean Premier League (CPL),International
Haryana,Gujarat,Domestic Indian Leagues,Indian Premier League (IPL)
Manipur,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Services,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Mumbai,Assam,Indian Premier League (IPL),Domestic Indian Leagues
Saurashtra,Gujarat,Domestic Indian Leagues,Indian Premier League (IPL)
Goa,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Andhra,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Baroda,Gujarat,Domestic Indian Leagues,Indian Premier League (IPL)
Sunrisers,Western Storm,Indian Premier League (IPL),The Hundred (England)
Maharashtra,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Spirit,Sapphires,The Hundred (England),International
Mumbai,Haryana,Indian Premier League (IPL),Domestic Indian Leagues
Delhi,Services,Indian Premier League (IPL),Domestic Indian Leagues
Delhi,Kerala,Indian Premier League (IPL),Domestic Indian Leagues
Leeward Islands,Barbados,Caribbean Premier League (CPL),International
Kerala,Gujarat,Domestic Indian Leagues,Indian Premier League (IPL)
Mumbai,Sikkim,Indian Premier League (IPL),Domestic Indian Leagues
Goa,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Gujarat,Meghalaya,Indian Premier League (IPL),Domestic Indian Leagues
Railways,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Tornadoes,Spirit,International,The Hundred (England)
Barbados,Guyana,International,Caribbean Premier League (CPL)
Delhi,Jharkhand,Indian Premier League (IPL),Domestic Indian Leagues
Sunrisers,Lightning,Indian Premier League (IPL),The Hundred (England)
Rajasthan,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Sikkim,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Northern Diamonds,Sunrisers,The Hundred (England),Indian Premier League (IPL)
Sunrisers,Central Sparks,Indian Premier League (IPL),The Hundred (England)
Mumbai,Puducherry,Indian Premier League (IPL),Domestic Indian Leagues
Mumbai,Bengal,Indian Premier League (IPL),Domestic Indian Leagues
Trinidad and Tobago,Windward Islands,International,Caribbean Premier League (CPL)
Vidarbha,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Baroda,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Jammu & Kashmir,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Delhi,Punjab,Indian Premier League (IPL),Domestic Indian Leagues
Lightning,Sunrisers,The Hundred (England),Indian Premier League (IPL)
Gujarat,Goa,Indian Premier League (IPL),Domestic Indian Leagues
Gujarat,Maharashtra,Indian Premier League (IPL),Domestic Indian Leagues
Assam,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Spirit,Warriors,The Hundred (England),South African T20 Leagues
Chhattisgarh,Gujarat,Domestic Indian Leagues,Indian Premier League (IPL)
Delhi,Karnataka,Indian Premier League (IPL),Domestic Indian Leagues
Spirit,Tornadoes,The Hundred (England),International
Delhi,Andhra,Indian Premier League (IPL),Domestic Indian Leagues
Gujarat,Uttarakhand,Indian Premier League (IPL),Domestic Indian Leagues
Delhi,Goa,Indian Premier League (IPL),Domestic Indian Leagues
Saurashtra,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Karnataka,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Thunder,Sunrisers,The Hundred (England),Indian Premier League (IPL)
Southern Vipers,Sunrisers,The Hundred (England),Indian Premier League (IPL)
Gujarat,Madhya Pradesh,Indian Premier League (IPL),Domestic Indian Leagues
Punjab,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Odisha,Gujarat,Domestic Indian Leagues,Indian Premier League (IPL)
Madhya Pradesh,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Barmy Army,Spirit,International,The Hundred (England)
Saurashtra,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Himachal Pradesh,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Haryana,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Himachal,Gujarat,Domestic Indian Leagues,Indian Premier League (IPL)
Gujarat,Saurashtra,Indian Premier League (IPL),Domestic Indian Leagues
Jamaica,Guyana,International,Caribbean Premier League (CPL)
Delhi,Puducherry,Indian Premier League (IPL),Domestic Indian Leagues
Delhi,Haryana,Indian Premier League (IPL),Domestic Indian Leagues
Windward Islands,Trinidad and Tobago,Caribbean Premier League (CPL),International
Kerala,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Himachal,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Railways,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Mumbai,Jharkhand,Indian Premier League (IPL),Domestic Indian Leagues
Warriors,Spirit,South African T20 Leagues,The Hundred (England)
